,gene_symbol,myAUC,myDiff,power,cluster #
2159,BNIP3,0.705,1.116162,0.205,16
2160,PODXL2,0.750,1.108498,0.250,16
2161,ZEB2,0.706,1.105841,0.206,16
2162,RAB3C,0.706,1.104219,0.206,16
2163,TUBB2A,0.758,1.097099,0.258,16
2164,PHYHIPL,0.721,1.053411,0.221,16
2165,NSG2,0.707,1.039994,0.207,16
2166,CADM3,0.724,1.033579,0.224,16
2167,PNMAL2,0.726,1.032390,0.226,16
2168,ITM2C,0.757,1.031738,0.257,16
2169,GRIA2,0.742,1.020469,0.242,16
2170,NRXN3,0.740,1.019019,0.240,16
2171,SPHKAP,0.713,1.014996,0.213,16
2172,ANK3,0.715,1.004342,0.215,16
2173,HMGN1,0.215,-1.521153,0.285,16
2174,GNB1,0.229,-1.683458,0.271,16
2175,CNGA1,0.271,-1.708074,0.229,16
2176,UNC119,0.244,-1.715525,0.256,16
2177,RPGRIP1,0.264,-1.737171,0.236,16
2178,ROM1,0.234,-1.740653,0.266,16
2179,NRL,0.265,-1.762281,0.235,16
2180,RS1,0.265,-1.774883,0.235,16
2181,PDE6B,0.237,-1.791541,0.263,16
2182,RP1,0.240,-1.818556,0.260,16
2183,PRPH2,0.201,-1.822970,0.299,16
2184,RCVRN,0.225,-1.829448,0.275,16
2185,PDE6G,0.212,-1.836061,0.288,16
2186,GNGT1,0.177,-1.911169,0.323,16
2187,NR2E3,0.252,-1.935120,0.248,16
2188,SLC24A1,0.268,-1.939047,0.232,16
2189,TULP1,0.202,-1.958300,0.298,16
2190,PDC,0.178,-1.988325,0.322,16
2191,GNAT1,0.203,-2.005405,0.297,16
2192,RHO,0.170,-2.014559,0.330,16
2193,SAG,0.157,-2.131605,0.343,16
2198,NHLH2,0.955,2.801308,0.455,17
2199,PTPRF,0.938,2.711222,0.438,17
2200,IGF1,0.893,2.396873,0.393,17
2201,SLC6A9,0.922,2.391729,0.422,17
2202,LAMP5,0.894,2.317776,0.394,17
2203,NECAB1,0.845,2.034798,0.345,17
2204,NFIX,0.842,2.031417,0.342,17
2205,QDPR,0.864,2.017375,0.364,17
2206,RPH3A,0.861,1.948967,0.361,17
2207,TFAP2C,0.804,1.906681,0.304,17
2208,EBF3,0.816,1.897681,0.316,17
2209,ZFP804A,0.806,1.817066,0.306,17
2210,CPLX3,0.918,1.803041,0.418,17
2211,CRABP1,0.796,1.772659,0.296,17
2212,NR2F2,0.779,1.746596,0.279,17
2213,HPCA,0.804,1.734854,0.304,17
2214,ELAVL3,0.846,1.731296,0.346,17
2215,NRSN1,0.810,1.674821,0.310,17
2216,IER5,0.778,1.651591,0.278,17
2217,PTPRT,0.756,1.624019,0.256,17
2218,DAB1,0.802,1.623759,0.302,17
